"Zone" "Ward" "Area" "Location" "Street" "Cases" "importDate"
4 36 "Kodungaiyur" "T.V.Nagar" "T.V.Nagar 1st Main Road 5th St" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sasthiri Nagar" "Sasthiri Nagar 9th Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sharma Nagar" "Sharma Nagar 5th Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "S.A. Colony" "S.A. Colony I Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sasthiri Nagar" "Sasthiri Nagar 1st Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "S.A. Colony" "S.A. Colony Iii Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "M.K.B. Nagar" "17th West Cross Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sharma Nagar" "Sharma Nagar 8th Street" 1 "2021-05-03"
4 36 "Kodungaiyur" "V.V.Nagar" "Gandhi Street" 1 "2021-05-03"
4 37 "Kodungaiyur" "K.M Nagar" "Selvaraj St" 2 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "10th Central Cross Road" 2 "2021-05-03"
4 37 "Vyasarpadi" "Vyasarpadi" "VASANTHAM GARDEN" 2 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "17th Central Cross Road" 2 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "5th Cross Road" 2 "2021-05-03"
4 37 "Kodungaiyur" "K.M Nagar" "Loganathan St" 2 "2021-05-03"
4 37 "Vyasarpadi" "Debar Nagar" "11th Street Debar Nagar" 2 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "19th Central Cross Road" 2 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "13th East Cross Road" 2 "2021-05-03"
4 37 "Kodungaiyur" "K.K.D.Nagar" "K.K.D.Nagar 9th Main Road" 1 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "15th East Cross Road" 1 "2021-05-03"
4 37 "Kodungaiyur" "K.M Nagar" "Saravanan St" 1 "2021-05-03"
4 37 "Kodungaiyur" "K.M Nagar" "Bhavani Street" 1 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "Central Avenue Road" 1 "2021-05-03"
4 37 "Vyasarpadi" "Samiyar Thottam" "3rd Street K.S.S. Madam" 1 "2021-05-03"
4 37 "Kodungaiyur" "Rajarathinam Nagar" "Rajarathinam Nagar  C Block 3rd Lane" 1 "2021-05-03"
4 37 "Kodungaiyur" "K.K.D.Nagar" "K.K.D.Nagar 8th Block 1st Lane 10th Main Road" 1 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "8th Main Road" 1 "2021-05-03"
4 37 "Kodungaiyur" "K.K.D.Nagar" "K.K.D.Nagar 8th Block 1st Lane" 1 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "17th East Cross Road" 1 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "Mullai Complex" 1 "2021-05-03"
4 37 "Vyasarpadi" "M.K.B. Nagar" "14th Central Cross Road" 1 "2021-05-03"
4 37 "Kodungaiyur" "Rajarathinam Nagar" "Rajarathinam Nagar  E Block 5th Lane" 1 "2021-05-03"
4 37 "Vyasarpadi" "Samiyar Thottam" "1st Street K.S.S. Madam" 1 "2021-05-03"
4 37 "Vyasarpadi" "Samiyar Thottam" "1st Cross Street K.S.S. Madam" 1 "2021-05-03"
4 38 "Tondiarpet" "Karunanidhi Nagar" "KARUNANIDHI NAGAR 4TH STREET" 2 "2021-05-03"
4 38 "Tondiarpet" "Vinobha Nagar" "Vinobha Nagar 5th St" 2 "2021-05-03"
4 38 "Tondiarpet" "Indira Gandhi Nagar" "Indira Gandhi Nagar 4th Street" 1 "2021-05-03"
4 38 "Tondiarpet" "Rajiv Gandhi Nagar" "Rajiv Gandhi Nagar 1st St" 1 "2021-05-03"
4 38 "Tondiarpet" "sundharam pillai Nagar" "Sundaram Nagar 2nd  St" 1 "2021-05-03"
4 38 "Tondiarpet" "sundharam pillai Nagar" "Sundaram pillai Nagar 1st cross street" 1 "2021-05-03"
4 38 "Tondiarpet" "Nehru Nagar" "Nehru Nagar 11th Street" 1 "2021-05-03"
4 38 "Tondiarpet" "Durga Devi Nagar" "Durgadevi Nagar 1st Street" 1 "2021-05-03"
4 38 "Tondiarpet" "Nethaji Nagar" "Nethaji Nagar 4th Street" 1 "2021-05-03"
4 38 "Tondiarpet" "sundharam pillai Nagar" "Sundaram Nagar 4th St" 1 "2021-05-03"
4 38 "Tondiarpet" "Tondiarpet" "C.I.S.F QUERTERS" 1 "2021-05-03"
4 38 "Tondiarpet" "sundharam pillai Nagar" "Sundaram Nagar 3rd  St" 1 "2021-05-03"
4 38 "Tondiarpet" "Patel Nagar" "Patel Nagar 1st St" 1 "2021-05-03"
4 38 "Tondiarpet" "Prince village phase 1,2" "Ellaya street" 1 "2021-05-03"
4 39 "New Washermen Pet" "New Washermen Pet" "Arunachala Easwarar Koil Street" 2 "2021-05-03"
4 39 "New Washermen Pet" "Cherian Nagar" "Washer Varadappa M St" 1 "2021-05-03"
